Title,Genre,Director
Back to the Future Part III,Adventure Comedy Family Science Fiction,Robert Zemeckis
Get Hard,Comedy,Etan Cohen
Dracula,Romance Horror,Francis Ford Coppola
Julie & Julia,Romance Drama,Nora Ephron
42,Drama,Brian Helgeland
The Talented Mr. Ripley,Thriller Crime Drama,Anthony Minghella
Dumb and Dumber To,Comedy,Bobby Farrelly
Eight Below,Adventure Drama Family,Frank Marshall
The Intern,Comedy,Nancy Meyers
Ride Along 2,Action Comedy,Tim Story
The Last of the Mohicans,Action Adventure Drama History Romance,Michael Mann
Ray,Drama Music,Taylor Hackford
Sin City,Action Thriller Crime,Robert Rodriguez
Vantage Point,Drama Action Thriller Crime,Pete Travis
"I Love You, Man",Comedy,John Hamburg
Shallow Hal,Comedy Romance,Bobby Farrelly
JFK,Drama Thriller History,Oliver Stone
Big Momma's House 2,Comedy Crime,John Whitesell
The Mexican,Action Comedy Crime Romance,Gore Verbinski
17 Again,Comedy,Burr Steers
The Other Woman,Comedy Romance,Nick Cassavetes
The Final Destination,Horror Mystery,David R. Ellis
Bridge of Spies,Thriller Drama,Steven Spielberg
Behind Enemy Lines,Action Drama Thriller War,John Moore
Get Him to the Greek,Comedy,Nicholas Stoller
Shall We Dance?,Drama Romance Comedy,Peter Chelsom
Small Soldiers,Comedy Adventure Fantasy Science Fiction Action,Joe Dante
Spawn,Action Adventure Fantasy Horror Science Fiction,Mark A.Z. Dipp\u00e9
The Count of Monte Cristo,Action Adventure Drama Thriller,Kevin Reynolds
The Lincoln Lawyer,Crime Drama Thriller,Brad Furman
Unknown,Action Mystery Thriller,Jaume Collet-Serra
The Prestige,Drama Mystery Thriller,Christopher Nolan
Horrible Bosses 2,Comedy,Sean Anders
Escape from Planet Earth,Animation Comedy Adventure Family Science Fiction,Callan Brunker
Apocalypto,Action Adventure Drama Thriller,Mel Gibson
The Living Daylights,Action Adventure Thriller,John Glen
Predators,Action Science Fiction Adventure Thriller,Nimr\u00f3d Antal
Legal Eagles,Comedy Crime Drama Romance Thriller,Ivan Reitman
Secret Window,Thriller Mystery,David Koepp
The Lake House,Romance Drama Mystery,Alejandro Agresti
The Skeleton Key,Drama Horror Mystery Thriller,Iain Softley
The Odd Life of Timothy Green,Fantasy Drama Comedy Family,Peter Hedges
Made of Honor,Comedy Romance,Paul Weiland
Jersey Boys,Music Drama,Clint Eastwood
The Rainmaker,Drama Crime Thriller,Francis Ford Coppola
Gothika,Horror Thriller,Mathieu Kassovitz
Amistad,Drama History Mystery,Steven Spielberg
Medicine Man,Adventure,John McTiernan
Aliens vs Predator: Requiem,Fantasy Action Science Fiction Thriller Horror,Colin Strause
Ri¢hie Ri¢h,Comedy Family,Donald Petrie
Autumn in New York,Drama Romance,Joan Chen
Music and Lyrics,Comedy Music Romance,Marc Lawrence
Paul,Adventure Comedy Science Fiction,Greg Mottola
The Guilt Trip,Comedy,Anne Fletcher
Scream 4,Horror Mystery,Wes Craven
8MM,Thriller Crime Mystery,Joel Schumacher
The Doors,Drama Music,Oliver Stone
Sex Tape,Comedy,Jake Kasdan
Hanging Up,Comedy Drama,Diane Keaton
Final Destination 5,Horror Mystery,Steven Quale
Mickey Blue Eyes,Comedy Crime Romance,Kelly Makin
Pay It Forward,Drama Romance,Mimi Leder
Fever Pitch,Comedy Drama Romance,Bobby Farrelly
Drillbit Taylor,Comedy,Steven Brill
A Million Ways to Die in the West,Comedy Western,Seth MacFarlane
The Shadow,Adventure Fantasy Action Thriller Science Fiction,Russell Mulcahy
Extremely Loud & Incredibly Close,Drama,Stephen Daldry
Morning Glory,Comedy Drama Romance,Roger Michell
Get Rich or Die Tryin',Drama,Jim Sheridan
The Art of War,Crime Action Adventure,Christian Duguay
Rent,Drama Romance,Chris Columbus
Bless the Child,Drama Horror Thriller Crime,Chuck Russell
The Out-of-Towners,Comedy,Sam Weisman
The Island of Dr. Moreau,Fantasy Horror Science Fiction,John Frankenheimer
The Musketeer,Action Adventure Drama,Peter Hyams
The Other Boleyn Girl,Drama,Justin Chadwick
Sweet November,Drama Romance,Pat O'Connor
The Reaping,Horror,Stephen Hopkins
Mean Streets,Drama Crime,Martin Scorsese
Renaissance Man,Comedy War,Penny Marshall
Colombiana,Action Thriller Crime Drama,Olivier Megaton
Quest for Camelot,Fantasy Animation Drama Romance Family,Frederik Du Chau
City By The Sea,Crime Drama Mystery,Michael Caton-Jones
At First Sight,Drama Romance,Irwin Winkler
Torque,Action,Joseph Kahn
City Hall,Drama Thriller,Harold Becker
Showgirls,Drama,Paul Verhoeven
Marie Antoinette,Drama History,Sofia Coppola
Kiss of Death,Action Crime Drama Thriller,Barbet Schroeder
Get Carter,Action Drama Thriller Crime,Stephen T. Kay
Lo imposible,Thriller Drama,Juan Antonio Bayona
Ishtar,Action Adventure Comedy,Elaine May
Fantastic Mr. Fox,Adventure Animation Comedy Family,Wes Anderson
Life or Something Like It,Comedy Drama Romance,Stephen Herek
Memoirs of an Invisible Man,Comedy Fantasy Science Fiction,John Carpenter
Le fabuleux destin d'Amélie Poulain,Comedy Romance,Jean-Pierre Jeunet
New York Minute,Comedy,Dennie Gordon
Alfie,Comedy,Charles Shyer
Big Miracle,Adventure Drama Romance,Ken Kwapis
The Deep End of the Ocean,Drama Mystery,Ulu Grosbard
FearDotCom,Horror Thriller,William Malone
Cirque du Freak: The Vampire's Assistant,Adventure Fantasy Action Thriller,Paul Weitz
Duplex,Action Comedy Thriller,Danny DeVito
Soul Men,Comedy Music,Malcolm D. Lee
Raise the Titanic,Action Drama Thriller,Jerry Jameson
Universal Soldier: The Return,Action Science Fiction,Mic Rodgers
Pandorum,Action Horror Mystery Science Fiction Thriller,Christian Alvart
Impostor,Action Science Fiction Thriller,Gary Fleder
Extreme Ops,Action Adventure Drama Thriller,Christian Duguay
Just Visiting,Comedy Fantasy Science Fiction,Jean-Marie Poir\u00e9
Sunshine,Science Fiction Thriller,Danny Boyle
A Thousand Words,Drama Comedy,Brian Robbins
Delgo,Adventure Fantasy Animation Comedy Science Fiction,Marc F. Adler
The Gunman,Action Drama Crime,Pierre Morel
Stormbreaker,Adventure Action Family,Geoffrey Sax
Disturbia,Thriller Drama Mystery,D.J. Caruso
Hackers,Action Crime Thriller Drama,Iain Softley
The Hunting Party,Action Adventure Thriller Drama,Richard Shepard
The Hudsucker Proxy,Comedy Drama,Joel Coen
投名狀,Action Drama History,Peter Chan
Nomad,Action History War,Sergei Bodrov Jr.
Snowpiercer,Action Science Fiction Drama,Bong Joon-ho
Un monstre à Paris,Adventure Animation Comedy Family Fantasy,Bibo Bergeron
The Last Shot,Action Comedy,Jeff Nathanson
The Crow,Fantasy Action Thriller,Alex Proyas
Baahubali: The Beginning,Action Adventure War History,S.S. Rajamouli
The Time Traveler's Wife,Drama Romance Fantasy,Robert Schwentke
Because I Said So,Comedy,Michael Lehmann
Frankenweenie,Animation Comedy Family,Tim Burton
Serenity,Science Fiction Action Adventure Thriller,Joss Whedon
Against the Ropes,Romance Drama,Charles S. Dutton
Superman III,Comedy Action Adventure Fantasy Science Fiction,Richard Lester
Grudge Match,Comedy,Peter Segal
Chi bi,Adventure Drama Action,John Woo
Sweet Home Alabama,Comedy Romance,Andy Tennant
The Ugly Truth,Comedy Romance,Robert Luketic
Sgt. Bilko,Comedy Family,Jonathan Lynn
Spy Kids 2: The Island of Lost Dreams,Action Adventure Family,Robert Rodriguez
Star Trek: Generations,Science Fiction Action Adventure Thriller,David Carson
一代宗師,Action Drama History,Wong Kar-wai
Water for Elephants,Drama Romance,Francis Lawrence
Dragon Nest: Warriors' Dawn,Adventure Family Fantasy Animation,Yuefeng Song
The Hurricane,Drama,Norman Jewison
Enough,Drama Thriller,Michael Apted
Heartbreakers,Crime Comedy Romance,David Mirkin
Paul Blart: Mall Cop 2,Action Comedy Family,Andy Fickman
Angel Eyes,Drama Romance Thriller,Luis Mandoki
Joe Somebody,Comedy,John Pasquin
The Ninth Gate,Horror Mystery Thriller,Roman Polanski
Extreme Measures,Drama Thriller,Michael Apted
Rock Star,Music Drama Comedy,Stephen Herek
Precious,Drama,Lee Daniels
White Squall,Action Drama,Ridley Scott
The Thing,Horror Mystery Science Fiction,John Carpenter
Riddick,Science Fiction Action Thriller,David Twohy
Switchback,Action Adventure Mystery Thriller,Jeb Stuart
Texas Rangers,Action Western,Steve Miner
City of Ember,Adventure Family Fantasy,Gil Kenan
The Master,Drama,Paul Thomas Anderson
Virgin Territory,Adventure Action Comedy Romance,David Leland
The Express,Drama,Gary Fleder
The 5th Wave,Adventure Science Fiction,J Blakeson
Creed,Drama,Ryan Coogler
The Town,Crime Drama Thriller,Ben Affleck
What to Expect When You're Expecting,Romance Comedy Drama,Kirk Jones
Burn After Reading,Comedy Drama,Joel Coen
Nim's Island,Adventure Comedy Family Fantasy,Jennifer Flackett
Rush,Drama Action,Ron Howard
Magnolia,Drama,Paul Thomas Anderson
Cop Out,Action Comedy Crime,Kevin Smith
How to Be Single,Comedy Romance,Christian Ditter
Dolphin Tale,Drama Family,Charles Martin Smith
Twilight,Adventure Fantasy Drama Romance,Catherine Hardwicke
John Q,Drama Thriller Crime,Nick Cassavetes
Blue Streak,Action Comedy Crime,Les Mayfield
We're the Millers,Comedy Crime,Rawson Marshall Thurber
Obitaemyy Ostrov,Action Fantasy Science Fiction Thriller,Fyodor Bondarchuk
Breakdown,Drama Action Thriller,Jonathan Mostow
Never Say Never Again,Adventure Action Thriller,Irvin Kershner
Hot Tub Time Machine,Science Fiction Comedy Adventure,Steve Pink
Dolphin Tale 2,Family Drama,Charles Martin Smith
Reindeer Games,Thriller,John Frankenheimer
A Man Apart,Action Drama,F. Gary Gray
Aloha,Drama Comedy Romance,Cameron Crowe
Ghosts of Mississippi,History Drama,Rob Reiner
Snow Falling on Cedars,Drama Romance,Scott Hicks
The Rite,Drama Thriller Horror,Mikael H\u00e5fstr\u00f6m
Gattaca,Thriller Science Fiction Mystery Romance,Andrew Niccol
Isn't She Great,Drama Comedy,Andrew Bergman
Space Chimps,Animation Family,Kirk De Micco
Head of State,Comedy,Chris Rock
The Hangover,Comedy,Todd Phillips
葉問3,Action Drama History,Wilson Yip
Austin Powers: The Spy Who Shagged Me,Adventure Comedy Crime Science Fiction,Jay Roach
Batman,Fantasy Action,Tim Burton
There Be Dragons,Drama,Roland Joff\u00e9
Lethal Weapon 3,Adventure Action Comedy Thriller Crime,Richard Donner
The Blind Side,Drama,John Lee Hancock
Spy Kids,Action Comedy Family Adventure,Robert Rodriguez
Horrible Bosses,Comedy Crime,Seth Gordon
True Grit,Drama Adventure Western,Joel Coen
The Devil Wears Prada,Comedy Drama Romance,David Frankel
Star Trek: The Motion Picture,Science Fiction Adventure Mystery,Robert Wise
Identity Thief,Comedy Crime,Seth Gordon
Cape Fear,Crime Thriller,Martin Scorsese
21,Drama Crime,Robert Luketic
Trainwreck,Comedy,Judd Apatow
Guess Who,Comedy Romance,Kevin Rodney Sullivan
The English Patient,Drama Romance War,Anthony Minghella
L.A. Confidential,Crime Drama Mystery Thriller,Curtis Hanson
Sky High,Adventure Comedy Family,Mike Mitchell
In & Out,Comedy Romance,Frank Oz
Species,Science Fiction Horror Action,Roger Donaldson
A Nightmare on Elm Street,Horror,Wes Craven
The Cell,Horror Science Fiction Thriller,Tarsem Singh
The Man in the Iron Mask,Action Adventure Drama,Randall Wallace
Secretariat,Drama,Randall Wallace
TMNT,Adventure Animation Comedy Family,Kevin Munroe
Radio,Drama,Mike Tollin
Friends with Benefits,Romance Comedy,Will Gluck
Neighbors 2: Sorority Rising,Comedy,Nicholas Stoller
Saving Mr. Banks,Comedy Drama History,John Lee Hancock
Malcolm X,Drama History,Spike Lee
This Is 40,Comedy,Judd Apatow
Old Dogs,Comedy Family,Walt Becker
Underworld: Rise of the Lycans,Fantasy Action Adventure Science Fiction Thriller,Patrick Tatopoulos
License to Wed,Comedy,Ken Kwapis
The Benchwarmers,Comedy,Dennis Dugan
Must Love Dogs,Comedy Romance,Gary David Goldberg
Donnie Brasco,Crime Drama Thriller,Mike Newell
Resident Evil,Horror Action Science Fiction,Paul W.S. Anderson
Poltergeist,Horror,Tobe Hooper
The Ladykillers,Comedy Crime Thriller,Joel Coen
Max Payne,Action,John Moore
In Time,Action Thriller Science Fiction,Andrew Niccol
The Back-Up Plan,Comedy Romance,Alan Poul
Something Borrowed,Comedy Drama Romance,Luke Greenfield
Black Knight,Adventure Comedy Fantasy,Gil Junger
The Bad News Bears,Comedy Family,Michael Ritchie
Street Fighter,Action Adventure Thriller,Steven E. de Souza
The Pianist,Drama War,Roman Polanski
The Nativity Story,Drama History,Catherine Hardwicke
House of Wax,Horror,Jaume Collet-Serra
Closer,Drama Romance,Mike Nichols
J. Edgar,Drama Crime History,Clint Eastwood
Mirrors,Horror Mystery Thriller,Alexandre Aja
Queen of the Damned,Drama Fantasy Horror,Michael Rymer
Predator 2,Science Fiction Action Thriller,Stephen Hopkins
Untraceable,Drama,Gregory Hoblit
Blast from the Past,Comedy Romance,Hugh Wilson
Flash Gordon,Science Fiction,Mike Hodges
Jersey Girl,Comedy Romance,Kevin Smith
Alex Cross,Action Thriller Crime Mystery,Rob Cohen
Midnight in the Garden of Good and Evil,Crime Drama Mystery Thriller,Clint Eastwood
Heist,Crime Action Thriller,Scott Mann
Nanny McPhee and the Big Bang,Comedy Fantasy,Susanna White
Hoffa,Crime History,Danny DeVito
The X Files: I Want to Believe,Drama Mystery Science Fiction Thriller,Chris Carter
Ella Enchanted,Family Fantasy Comedy,Tommy O'Haver
Concussion,Drama,Peter Landesman
Abduction,Thriller Action Mystery,John Singleton
Valiant,Animation Family Adventure,Gary Chapman
Wonder Boys,Comedy Drama,Curtis Hanson
Superhero Movie,Action Comedy Science Fiction,Craig Mazin
Broken City,Thriller Crime Drama,Allen Hughes
Cursed,Horror Comedy,Wes Craven
Premium Rush,Crime Action Thriller,David Koepp
Hot Pursuit,Action Comedy Crime,Anne Fletcher
The Four Feathers,War Adventure Drama Romance,Shekhar Kapur
Parker,Action Crime,Taylor Hackford
Wimbledon,Comedy Romance,Richard Loncraine
Furry Vengeance,Comedy,Roger Kumble
Bait,Action Horror Thriller,Kimble Rendall
Krull,Fantasy Action Adventure,Peter Yates
Lions for Lambs,Action Adventure Drama History,Robert Redford
Flight of the Intruder,Action Adventure Drama Thriller,John Milius
Walk Hard: The Dewey Cox Story,Comedy Music,Jake Kasdan
The Shipping News,Drama Romance,Lasse Hallstr\u00f6m
American Outlaws,Action Western,Les Mayfield
The Young Victoria,Drama History Romance,Jean-Marc Vall\u00e9e
Whiteout,Action Crime Mystery Thriller,Dominic Sena
The Tree of Life,Drama Fantasy,Terrence Malick
Knock Off,Action Adventure Thriller,Tsui Hark
Sabotage,Action Drama Thriller Crime,David Ayer
The Order,Drama Fantasy Horror Mystery Romance,Brian Helgeland
Punisher: War Zone,Action Crime,Lexi Alexander
Zoom,Family Fantasy Comedy,Peter Hewitt
The Walk,Adventure Drama Thriller,Robert Zemeckis
Warriors of Virtue,Fantasy Family Action,Ronny Yu
A Good Year,Comedy Drama Romance,Ridley Scott
Radio Flyer,Drama,Richard Donner
Bound by Honor,Action Crime Drama Thriller,Taylor Hackford
Smilla's Sense of Snow,Action Crime Drama Mystery Thriller,Bille August
Femme Fatale,Thriller Crime Romance,Brian De Palma
Lion of the Desert,Action History War,Moustapha Akkad
Le Hussard sur le toit,War Adventure Drama Romance,Jean-Paul Rappeneau
Ride with the Devil,Drama War Romance Western,Ang Lee
Biutiful,Drama,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Bandidas,Action Comedy Western Crime,Joachim R\u00f8nning
Black Water Transit,Drama Crime,Tony Kaye
The Maze Runner,Action Mystery Science Fiction Thriller,Wes Ball
Unfinished Business,Comedy,Ken Scott
The Age of Innocence,Drama Romance,Martin Scorsese
The Fountain,Drama Adventure Science Fiction Romance,Darren Aronofsky
Chill Factor,Action Comedy Thriller,Hugh Johnson
Stolen,Action Crime Drama Thriller,Simon West
崖の上のポニョ,Animation Family,Hayao Miyazaki
The Longest Ride,Drama Romance,"George Tillman, Jr."
The Astronaut's Wife,Drama Science Fiction Thriller,Rand Ravich
I Dreamed of Africa,Romance Drama Adventure,Hugh Hudson
Playing for Keeps,Comedy Romance,Gabriele Muccino
Mandela: Long Walk to Freedom,Drama History,Justin Chadwick
Reds,Drama History,Warren Beatty
A Few Good Men,Drama,Rob Reiner
Exit Wounds,Action Crime Thriller,Andrzej Bartkowiak
Big Momma's House,Crime Comedy,Raja Gosnell
The House of Magic,Family Fantasy Animation Adventure,Ben Stassen
The Darkest Hour,Horror Action Thriller Science Fiction,Chris Gorak
Step Up Revolution,Music Drama Romance,Scott Speer
Snakes on a Plane,Action Crime Horror Thriller,David R. Ellis
The Watcher,Mystery Thriller,Joe Charbanic
The Punisher,Action Crime Drama,Jonathan Hensleigh
Goal!: The Dream Begins,Drama,Danny Cannon
Safe,Action Crime Thriller,Boaz Yakin
Pushing Tin,Comedy Drama,Mike Newell
Return of the Jedi,Adventure Action Science Fiction,Richard Marquand
Doomsday,Action Thriller Science Fiction,Neil Marshall
The Reader,Drama Romance,Stephen Daldry
Wanderlust,Comedy,David Wain
Elf,Comedy Family Fantasy,Jon Favreau
Phenomenon,Drama Fantasy Romance Science Fiction,Jon Turteltaub
Snow Dogs,Adventure Comedy Family,Brian Levant
Scrooged,Fantasy Comedy Drama,Richard Donner
Nacho Libre,Comedy Family,Jared Hess
Bridesmaids,Comedy Romance,Paul Feig
This Is the End,Action Comedy,Seth Rogen
Stigmata,Horror,Rupert Wainwright
Men of Honor,Drama,"George Tillman, Jr."
Takers,Action Crime Drama Thriller,John Luessenhop
The Big Wedding,Comedy,Justin Zackham
"Big Mommas: Like Father, Like Son",Crime Comedy Action,John Whitesell
Source Code,Thriller Science Fiction Mystery,Duncan Jones
Alive,Action Adventure Drama Thriller,Frank Marshall
The Number 23,Thriller Drama Mystery,Joel Schumacher
The Young and Prodigious T.S. Spivet,Adventure Drama Family,Jean-Pierre Jeunet
1941,Action Comedy,Steven Spielberg
Dreamer: Inspired By a True Story,Drama Family,John Gatins
A History of Violence,Drama Thriller Crime,David Cronenberg
Transporter 2,Action Thriller Crime,Louis Leterrier
The Quick and the Dead,Action Western,Sam Raimi
Laws of Attraction,Action Comedy Romance Thriller,Peter Howitt
Bringing Out the Dead,Drama,Martin Scorsese
Repo Men,Action Science Fiction Thriller Crime,Miguel Sapochnik
디워,Fantasy Drama Horror Action Thriller,Shim Hyung-Rae
Bogus,Fantasy Comedy Family,Norman Jewison
The Incredible Burt Wonderstone,Comedy,Don Scardino
Cats Don't Dance,Animation Comedy Family Music,Mark Dindal
Cradle Will Rock,Drama,Tim Robbins
The Good German,War Crime Drama Mystery Romance,Steven Soderbergh
George and the Dragon,Adventure,Tom Reeve
Apocalypse Now,Drama War,Francis Ford Coppola
Going the Distance,Comedy Drama Romance,Nanette Burstein
Mr. Holland's Opus,Music Drama Family,Stephen Herek
Criminal,Action,Ariel Vromen
Out of Africa,Drama,Sydney Pollack
Flight,Drama,Robert Zemeckis
Moonraker,Action Adventure Thriller Science Fiction,Lewis Gilbert
The Grand Budapest Hotel,Comedy Drama,Wes Anderson
Hearts in Atlantis,Drama Mystery,Scott Hicks
Arachnophobia,Comedy Horror,Frank Marshall
Frequency,Crime Drama Science Fiction Thriller,Gregory Hoblit
Vacation,Comedy,John Francis Daley
Get Shorty,Comedy Thriller Crime,Barry Sonnenfeld
Chicago,Action Comedy Crime Drama Music,Rob Marshall
Big Daddy,Comedy Drama,Dennis Dugan
American Pie 2,Comedy Romance,J.B. Rogers
Toy Story,Animation Comedy Family,John Lasseter
Speed,Action Adventure Crime,Jan de Bont
The Vow,Drama Romance,Michael Sucsy
Extraordinary Measures,Drama,Tom Vaughan
Remember the Titans,Drama,Boaz Yakin
The Hunt for Red October,Action Adventure Thriller,John McTiernan
The Butler,Drama,Lee Daniels
DodgeBall: A True Underdog Story,Comedy,Rawson Marshall Thurber
The Addams Family,Horror Comedy Fantasy,Barry Sonnenfeld
Ace Ventura: When Nature Calls,Crime Comedy Adventure,Steve Oedekerk
The Princess Diaries,Comedy Family Romance,Garry Marshall
The First Wives Club,Comedy,Hugh Wilson
Se7en,Crime Mystery Thriller,David Fincher
District 9,Science Fiction,Neill Blomkamp
The SpongeBob SquarePants Movie,Animation Comedy Family,Stephen Hillenburg
Mystic River,Thriller Crime Drama Mystery,Clint Eastwood
Million Dollar Baby,Drama,Clint Eastwood
Analyze This,Comedy Crime,Harold Ramis
The Notebook,Romance Drama,Nick Cassavetes
27 Dresses,Comedy Romance,Anne Fletcher
Hannah Montana: The Movie,Comedy Drama Family Music Romance,Peter Chelsom
Rugrats in Paris: The Movie,Adventure Animation Comedy Family,Stig Bergqvist
The Prince of Tides,Drama Romance,Barbra Streisand
Legends of the Fall,Adventure Drama Romance War,Edward Zwick
Up in the Air,Drama Romance,Jason Reitman
About Schmidt,Drama Comedy,Alexander Payne
Warm Bodies,Horror Comedy Romance,Jonathan Levine
Looper,Action Thriller Science Fiction,Rian Johnson
Down to Earth,Fantasy Comedy Science Fiction Romance,Chris Weitz
Babe,Fantasy Drama Comedy Family,Chris Noonan
Hope Springs,Drama Comedy Romance,David Frankel
Forgetting Sarah Marshall,Comedy Romance Drama,Nicholas Stoller
Four Brothers,Action Crime,John Singleton
Baby Mama,Comedy,Michael McCullers
Hope Floats,Drama Romance,Forest Whitaker
Bride Wars,Comedy,Gary Winick
Without a Paddle,Action Adventure Comedy Thriller,Steven Brill
13 Going on 30,Comedy Fantasy Romance,Gary Winick
Midnight in Paris,Fantasy Comedy Romance,Woody Allen
The Nut Job,Animation Comedy Family Adventure,Peter Lepeniotis
Blow,Crime Drama,Ted Demme
Message in a Bottle,Romance Drama,Luis Mandoki
Star Trek V: The Final Frontier,Science Fiction Action Adventure Thriller,William Shatner
Like Mike,Comedy Drama Family Fantasy,John Schultz
The Naked Gun 33⅓: The Final Insult,Comedy Crime,Peter Segal
A View to a Kill,Adventure Action Thriller,John Glen
The Curse of the Were-Rabbit,Adventure Animation Comedy Family,Nick Park
P.S. I Love You,Drama Romance,Richard LaGravenese
Racing Stripes,Comedy,Frederik Du Chau
Atonement,Drama Romance,Joe Wright
Letters to Juliet,Comedy Drama Romance,Gary Winick
Black Rain,Action Thriller Crime,Ridley Scott
The Three Stooges,Comedy,Bobby Farrelly
Corpse Bride,Romance Fantasy Animation Music,Tim Burton
Glory Road,Drama,James Gartner
Sicario,Action Crime Drama Mystery Thriller,Denis Villeneuve
Southpaw,Action Drama,Antoine Fuqua
Drag Me to Hell,Horror Thriller,Sam Raimi
The Age of Adaline,Fantasy Drama Romance,Lee Toland Krieger
Secondhand Lions,Comedy Drama Family,Tim McCanlies
Step Up 3D,Drama Romance,Jon M. Chu
Blue Crush,Adventure,John Stockwell
Stranger Than Fiction,Comedy Drama Fantasy Romance,Marc Forster
30 Days of Night,Horror Thriller,David Slade
The Cabin in the Woods,Horror Thriller,Drew Goddard
Meet the Spartans,Comedy,Jason Friedberg
Midnight Run,Adventure Comedy Crime,Martin Brest
The Running Man,Action Science Fiction,Paul Michael Glaser
Little Shop of Horrors,Horror Comedy Music,Frank Oz
Hanna,Action Thriller Adventure,Joe Wright
Mortal Kombat: Annihilation,Action Fantasy Science Fiction,John R. Leonetti
Larry Crowne,Comedy Romance Drama,Tom Hanks
Carrie,Drama Horror,Kimberly Peirce
Take the Lead,Music,Liz Friedlander
Gridiron Gang,Action Adventure Crime Drama,Phil Joanou
What's the Worst That Could Happen?,Action Comedy,Sam Weisman
9,Action Adventure Animation Science Fiction Thriller,Shane Acker
Side Effects,Thriller Crime Drama,Steven Soderbergh
The Prince & Me,Comedy Romance,Martha Coolidge
Winnie the Pooh,Animation Family,Stephen Anderson
Dumb and Dumberer: When Harry Met Lloyd,Comedy,Troy Miller
Bulworth,Comedy Drama,Warren Beatty
Get on Up,Drama Music,Tate Taylor
One True Thing,Drama Romance,Carl Franklin
Virtuosity,Action Crime Science Fiction Thriller,Brett Leonard
My Super Ex-Girlfriend,Fantasy Drama Action Comedy Crime,Ivan Reitman
Deliver Us from Evil,Thriller Crime Horror,Scott Derrickson
Sanctum,Action Thriller,Alister Grierson
Little Black Book,Comedy Romance Drama,Nick Hurran
The Five-Year Engagement,Comedy,Nicholas Stoller
Mr. 3000,Comedy Drama,Charles Stone III
The Next Three Days,Romance Drama Thriller Crime,Paul Haggis
Ultraviolet,Science Fiction Action Thriller,Kurt Wimmer
Assault on Precinct 13,Thriller,Jean-Fran\u00e7ois Richet
The Replacement Killers,Action Drama Crime Thriller,Antoine Fuqua
Fled,Action Comedy Thriller,Kevin Hooks
Eight Legged Freaks,Action Comedy Horror Thriller,Ellory Elkayem
Love & Other Drugs,Drama Comedy Romance,Edward Zwick
88 Minutes,Crime Mystery Thriller,Jon Avnet
North Country,Drama,Niki Caro
The Whole Ten Yards,Comedy Thriller Crime,Howard Deutch
Splice,Horror Thriller Science Fiction,Vincenzo Natali
Howard the Duck,Comedy Fantasy Science Fiction,Willard Huyck
Pride and Glory,Thriller Crime Drama,Gavin O'Connor
The Cave,Action Adventure Horror Thriller,Bruce Hunt
Alex & Emma,Comedy Romance,Rob Reiner
Wicker Park,Drama Mystery Romance Thriller,Paul McGuigan
Fright Night,Horror Comedy,Craig Gillespie
The New World,Drama History Romance,Terrence Malick
Wing Commander,Action Science Fiction,Christopher Roberts
In Dreams,Drama Thriller,Neil Jordan
Dragonball Evolution,Action Adventure Fantasy Science Fiction Thriller,James Wong
The Last Stand,Action Crime Thriller,Kim Jee-woon
Godsend,Drama Horror Science Fiction Thriller,Nick Hamm
Chasing Liberty,Comedy Romance,Andy Cadiff
Hoodwinked Too! Hood VS. Evil,Comedy Animation Family,Mike Disa
An Unfinished Life,Drama,Lasse Hallstr\u00f6m
The Imaginarium of Doctor Parnassus,Adventure Fantasy Mystery,Terry Gilliam
Barney's Version,Comedy Drama,Richard J. Lewis
Runner Runner,Crime Thriller Drama,Brad Furman
Antitrust,Action Crime Drama,Peter Howitt
Glory,War,Edward Zwick
Once Upon a Time in America,Drama Crime,Sergio Leone
Dead Man Down,Thriller Action Crime Drama,Niels Arden Oplev
The Merchant of Venice,Drama Romance,Michael Radford
The Good Thief,Crime Drama Thriller,Neil Jordan
Supercross,Action Adventure Drama Romance,Steve Boyum
Miss Potter,Drama Family Romance,Chris Noonan
Wu Ji,Fantasy Drama Action Thriller Romance,Chen Kaige
DOA: Dead or Alive,Adventure Action Thriller,Corey Yuen Kwai
The Assassination of Jesse James by the Coward Robert Ford,Action Drama Western,Andrew Dominik
辛亥革命,Adventure Drama Action History War,Jackie Chan
Le petit Nicolas,Comedy,Laurent Tirard
Wild Card,Thriller Crime Drama,Simon West
Machine Gun Preacher,Action Thriller Crime,Marc Forster
Konferenz der Tiere,Animation Family Comedy,Reinhard Klooss
Goodbye Bafana,History Drama,Bille August
United Passions,Drama,Fr\u00e9d\u00e9ric Auburtin
Grace of Monaco,Romance Drama,Olivier Dahan
Савва. Сердце воина,Fantasy Adventure Animation,Maksim Fadeev
Ripley's Game,Crime Thriller,Liliana Cavani
Sausage Party,Adventure Animation Comedy Fantasy,Conrad Vernon
Pitch Perfect 2,Comedy Music,Elizabeth Banks
Walk the Line,Drama Music Romance,James Mangold
Keeping the Faith,Comedy,Edward Norton
The Borrowers,Adventure Fantasy Action Comedy Family,Peter Hewitt
Frost/Nixon,Drama History,Ron Howard
Confessions of a Dangerous Mind,Comedy Crime Drama Romance Thriller,George Clooney
Serving Sara,Comedy Romance,Reginald Hudlin
The Boss,Comedy,Ben Falcone
Cry Freedom,Drama,Richard Attenborough
Mumford,Comedy Drama Romance,Lawrence Kasdan
